step_idx,avg_winning,avg_diff,loss_train,avg_score
298000,0.504,0.013,0.0,0.53474
299000,0.504,0.016,0.0,0.53488
300000,0.494,0.015,0.0,0.52476
301000,0.51,0.013,0.0,0.54154
302000,0.515,0.01,0.0,0.54783
303000,0.51,0.014,0.0,0.54252
304000,0.502,0.013,0.0,0.53519
305000,0.514,0.019,0.0,0.54729
306000,0.497,0.019,0.0,0.52932
307000,0.505,0.016,0.0,0.53651
308000,0.505,0.009,0.0,0.53656
309000,0.506,0.012,0.0,0.53691
310000,0.511,0.014,0.0,0.54284
311000,0.509,0.012,0.0,0.54091
312000,0.509,0.014,0.0,0.54145
313000,0.491,0.018,0.0,0.52326
314000,0.487,0.016,0.0,0.51863
315000,0.489,0.02,0.0,0.51983
316000,0.492,0.012,0.0,0.52299
317000,0.493,0.016,0.0,0.52422
318000,0.496,0.02,0.0,0.52739
319000,0.493,0.022,0.0,0.52385
320000,0.503,0.013,0.0,0.53403
321000,0.49,0.015,0.0,0.52129
322000,0.484,0.012,0.0,0.51405
323000,0.492,0.014,0.0,0.52174
324000,0.498,0.015,0.0,0.52813
325000,0.486,0.017,0.0,0.51644
326000,0.501,0.014,0.0,0.5311
327000,0.495,0.014,0.0,0.52464
328000,0.481,0.013,0.0,0.51023
329000,0.498,0.016,0.0,0.52705
330000,0.493,0.017,0.0,0.52224
331000,0.495,0.012,0.0,0.52358
332000,0.496,0.018,0.0,0.5247
333000,0.493,0.017,0.0,0.52109
334000,0.487,0.015,0.0,0.51492
335000,0.489,0.006,0.0,0.51652
336000,0.508,0.017,0.0,0.53653
337000,0.499,0.016,0.0,0.52759
338000,0.502,0.019,0.0,0.53205
339000,0.493,0.017,0.0,0.52251
340000,0.493,0.011,0.0,0.52391
341000,0.499,0.003,0.0,0.5294
342000,0.507,0.017,0.0,0.53759
343000,0.523,0.013,0.0,0.55308
344000,0.499,0.01,0.0,0.52924
345000,0.497,0.019,0.0,0.52725
346000,0.502,0.014,0.0,0.53239
347000,0.489,0.019,0.0,0.51932
348000,0.493,0.019,0.0,0.52283
349000,0.497,0.021,0.0,0.52761
350000,0.499,0.006,0.0,0.52929
351000,0.503,0.018,0.0,0.53387
352000,0.49,0.018,0.0,0.51981
353000,0.499,0.011,0.0,0.52853
354000,0.497,0.016,0.0,0.52642
355000,0.499,0.015,0.0,0.53005
356000,0.513,0.014,0.0,0.54438
357000,0.501,0.016,0.0,0.53219
358000,0.495,0.016,0.0,0.52697
359000,0.507,0.012,0.0,0.53842
360000,0.499,0.016,0.0,0.52944
361000,0.497,0.014,0.0,0.52752
362000,0.495,0.012,0.0,0.52472
363000,0.491,0.016,0.0,0.52036
364000,0.488,0.022,0.0,0.5171
365000,0.506,0.009,0.0,0.53492
366000,0.49,0.013,0.0,0.51925
367000,0.479,0.009,0.0,0.50765
368000,0.503,0.008,0.0,0.53209
369000,0.497,0.011,0.0,0.52624
370000,0.495,0.011,0.0,0.52378
371000,0.508,0.015,0.0,0.53723
372000,0.514,0.011,0.0,0.5439
373000,0.501,0.01,0.0,0.53036
374000,0.517,0.013,0.0,0.54765
375000,0.49,0.012,0.0,0.51934
376000,0.492,0.015,0.0,0.52116
377000,0.514,0.016,0.0,0.54431
378000,0.51,0.011,0.0,0.5397
379000,0.504,0.012,0.0,0.5338
380000,0.496,0.022,0.0,0.5257
381000,0.511,0.01,0.0,0.54153
