avg_winning,avg_diff,avg_score,step_idx,loss_train
0.344,0.02,0.36702,353000,0.0
0.347,0.026,0.37024,354000,0.0
0.351,0.021,0.37297,355000,0.0
0.344,0.023,0.36661,356000,0.0
0.339,0.024,0.36065,357000,0.0
0.334,0.023,0.35553,358000,0.0
0.338,0.027,0.36127,359000,0.0
0.338,0.017,0.36179,360000,0.0
0.338,0.028,0.36096,361000,0.0
0.336,0.019,0.3598,362000,0.0
0.359,0.02,0.38401,363000,0.0
0.335,0.023,0.36005,364000,0.0
0.354,0.024,0.37949,365000,0.0
0.346,0.021,0.36978,366000,0.0
0.357,0.016,0.37996,367000,0.0
0.359,0.025,0.38288,368000,0.0
0.34,0.02,0.3633,369000,0.0
0.358,0.02,0.38103,370000,0.0
0.355,0.021,0.37738,371000,0.0
0.354,0.021,0.37633,372000,0.0
0.347,0.023,0.36971,373000,0.0
0.351,0.023,0.37577,374000,0.0
0.356,0.018,0.38032,375000,0.0
0.358,0.018,0.38052,376000,0.0
0.34,0.017,0.36256,377000,0.0
0.361,0.017,0.38376,378000,0.0
0.36,0.018,0.38318,379000,0.0
0.344,0.016,0.3679,380000,0.0
0.346,0.022,0.36995,381000,0.0
0.349,0.023,0.3729,382000,0.0
0.355,0.021,0.37754,383000,0.0
0.371,0.018,0.39466,384000,0.0
0.374,0.027,0.39709,385000,0.0
0.365,0.019,0.38784,386000,0.0
0.369,0.016,0.39351,387000,0.0
0.364,0.019,0.38721,388000,0.0
0.361,0.022,0.38392,389000,0.0
0.355,0.019,0.37682,390000,0.0
0.348,0.019,0.36894,391000,0.0
0.357,0.023,0.37888,392000,0.0
0.362,0.021,0.38371,393000,0.0
0.357,0.023,0.37917,394000,0.0
0.36,0.02,0.38405,395000,0.0
0.367,0.023,0.39204,396000,0.0
0.364,0.023,0.38809,397000,0.0
0.341,0.029,0.36439,398000,0.0
0.356,0.034,0.37974,399000,0.0
0.362,0.026,0.38606,400000,0.0
0.355,0.028,0.37763,401000,0.0
0.343,0.015,0.36633,402000,0.0
0.345,0.028,0.36715,403000,0.0
0.357,0.023,0.37878,404000,0.0
0.347,0.025,0.36848,405000,0.0
0.352,0.023,0.37443,406000,0.0
0.331,0.022,0.35373,407000,0.0
0.344,0.022,0.3673,408000,0.0
0.348,0.026,0.37104,409000,0.0
0.359,0.027,0.3812,410000,0.0
0.358,0.019,0.38005,411000,0.0
0.357,0.019,0.3803,412000,0.0
0.353,0.022,0.37553,413000,0.0
0.339,0.024,0.36248,414000,0.0
0.335,0.023,0.35913,415000,0.0
0.35,0.024,0.37472,416000,0.0
0.329,0.026,0.35322,417000,0.0
0.354,0.025,0.37829,418000,0.0
0.343,0.025,0.36675,419000,0.0
0.341,0.019,0.36566,420000,0.0
0.355,0.015,0.37865,421000,0.0
0.349,0.028,0.37119,422000,0.0
0.358,0.018,0.37914,423000,0.0
0.356,0.023,0.3781,424000,0.0
0.34,0.023,0.36303,425000,0.0
0.345,0.022,0.36848,426000,0.0
0.349,0.022,0.37234,427000,0.0
0.357,0.022,0.3798,428000,0.0
0.362,0.022,0.38412,429000,0.0
0.35,0.017,0.37156,430000,0.0
0.348,0.019,0.37002,431000,0.0
0.351,0.019,0.37178,432000,0.0
0.346,0.017,0.3669,433000,0.0
0.352,0.017,0.37471,434000,0.0
0.338,0.015,0.36106,435000,0.0
0.372,0.019,0.39757,436000,0.0
0.355,0.019,0.37931,437000,0.0
0.346,0.026,0.36975,438000,0.0
0.353,0.023,0.3761,439000,0.0
0.351,0.016,0.3729,440000,0.0
0.333,0.02,0.35635,441000,0.0
