avg_score,loss_train,avg_diff,avg_winning,step_idx
0.5105,0.0,0.015,0.477,486000
0.4794,0.0,0.009,0.447,487000
0.49977,0.0,0.015,0.468,488000
0.50224,0.0,0.017,0.468,489000
0.48739,0.0,0.012,0.454,490000
0.47939,0.0,0.02,0.445,491000
0.48827,0.0,0.011,0.454,492000
0.48331,0.0,0.022,0.449,493000
0.4772,0.0,0.014,0.444,494000
0.48608,0.0,0.017,0.452,495000
0.47076,0.0,0.02,0.437,496000
0.49902,0.0,0.006,0.465,497000
0.48569,0.0,0.01,0.452,498000
0.48377,0.0,0.017,0.45,499000
