avg_winning,avg_diff,loss_train,avg_score,step_idx
0.342,0.018,0.0,0.36517,307000
0.342,0.015,0.0,0.36656,308000
0.351,0.02,0.0,0.37579,309000
0.344,0.019,0.0,0.36735,310000
0.354,0.012,0.0,0.37595,311000
0.355,0.022,0.0,0.37653,312000
0.345,0.014,0.0,0.36654,313000
0.343,0.024,0.0,0.3672,314000
0.354,0.02,0.0,0.37724,315000
0.341,0.02,0.0,0.36609,316000
0.343,0.02,0.0,0.36732,317000
0.344,0.024,0.0,0.36802,318000
0.35,0.019,0.0,0.37427,319000
0.349,0.022,0.0,0.37048,320000
0.341,0.021,0.0,0.36316,321000
0.345,0.026,0.0,0.36757,322000
0.349,0.023,0.0,0.37132,323000
0.335,0.021,0.0,0.35758,324000
0.351,0.017,0.0,0.37259,325000
0.334,0.021,0.0,0.35636,326000
0.343,0.024,0.0,0.36528,327000
0.348,0.024,0.0,0.36922,328000
0.344,0.021,0.0,0.36581,329000
0.351,0.021,0.0,0.37421,330000
0.345,0.018,0.0,0.36753,331000
0.356,0.026,0.0,0.37761,332000
0.358,0.02,0.0,0.37851,333000
0.34,0.025,0.0,0.3602,334000
0.342,0.022,0.0,0.36357,335000
0.353,0.02,0.0,0.37703,336000
0.355,0.022,0.0,0.37853,337000
0.352,0.017,0.0,0.37495,338000
0.349,0.016,0.0,0.37195,339000
0.343,0.017,0.0,0.36664,340000
0.345,0.026,0.0,0.36869,341000
0.364,0.018,0.0,0.38802,342000
0.354,0.022,0.0,0.37769,343000
0.352,0.023,0.0,0.37577,344000
0.345,0.015,0.0,0.3679,345000
0.361,0.021,0.0,0.38495,346000
0.346,0.02,0.0,0.37023,347000
0.359,0.023,0.0,0.38303,348000
0.356,0.021,0.0,0.37972,349000
0.35,0.02,0.0,0.37388,350000
0.364,0.019,0.0,0.3881,351000
0.359,0.019,0.0,0.38333,352000
0.357,0.013,0.0,0.38215,353000
0.353,0.018,0.0,0.37716,354000
0.359,0.015,0.0,0.38275,355000
0.356,0.02,0.0,0.38194,356000
0.359,0.018,0.0,0.38643,357000
0.36,0.022,0.0,0.38679,358000
0.357,0.025,0.0,0.38369,359000
0.383,0.02,0.0,0.41013,360000
0.362,0.024,0.0,0.38899,361000
0.356,0.021,0.0,0.38165,362000
0.379,0.021,0.0,0.40644,363000
0.369,0.017,0.0,0.39604,364000
0.376,0.027,0.0,0.40238,365000
0.368,0.024,0.0,0.39266,366000
0.367,0.012,0.0,0.39071,367000
0.366,0.014,0.0,0.39039,368000
0.345,0.016,0.0,0.36805,369000
0.363,0.024,0.0,0.38643,370000
0.361,0.02,0.0,0.38549,371000
0.361,0.018,0.0,0.38497,372000
0.339,0.015,0.0,0.36165,373000
0.366,0.021,0.0,0.38951,374000
0.362,0.021,0.0,0.38514,375000
0.355,0.019,0.0,0.37825,376000
0.351,0.02,0.0,0.37368,377000
0.358,0.02,0.0,0.38142,378000
0.358,0.018,0.0,0.38267,379000
0.359,0.025,0.0,0.38431,380000
0.373,0.023,0.0,0.39899,381000
0.363,0.025,0.0,0.38851,382000
0.353,0.024,0.0,0.37951,383000
0.366,0.023,0.0,0.39175,384000
0.373,0.026,0.0,0.39829,385000
0.375,0.021,0.0,0.40108,386000
0.345,0.024,0.0,0.37024,387000
0.365,0.023,0.0,0.39117,388000
0.362,0.022,0.0,0.38696,389000
0.356,0.022,0.0,0.37922,390000
0.358,0.027,0.0,0.38145,391000
0.357,0.018,0.0,0.38018,392000
0.357,0.022,0.0,0.3809,393000
0.376,0.012,0.0,0.40094,394000
0.364,0.024,0.0,0.38773,395000
0.361,0.021,0.0,0.38538,396000
0.375,0.02,0.0,0.39842,397000
0.362,0.017,0.0,0.38749,398000
0.375,0.02,0.0,0.40096,399000
0.361,0.026,0.0,0.38532,400000
0.374,0.016,0.0,0.39771,401000
0.362,0.015,0.0,0.38656,402000
0.363,0.022,0.0,0.38811,403000
0.356,0.02,0.0,0.3799,404000
0.366,0.023,0.0,0.39085,405000
0.385,0.017,0.0,0.40935,406000
0.374,0.021,0.0,0.39794,407000
0.363,0.018,0.0,0.3867,408000
0.371,0.019,0.0,0.39563,409000
0.372,0.015,0.0,0.39621,410000
0.385,0.019,0.0,0.40939,411000
0.362,0.021,0.0,0.38749,412000
0.37,0.021,0.0,0.39561,413000
0.353,0.02,0.0,0.37852,414000
0.364,0.017,0.0,0.38965,415000
0.359,0.021,0.0,0.38425,416000
0.364,0.021,0.0,0.39122,417000
0.369,0.019,0.0,0.39555,418000
0.375,0.015,0.0,0.39975,419000
0.369,0.017,0.0,0.3941,420000
0.358,0.019,0.0,0.38497,421000
0.362,0.021,0.0,0.38964,422000
0.354,0.021,0.0,0.38111,423000
0.369,0.024,0.0,0.39702,424000
0.375,0.024,0.0,0.40231,425000
0.357,0.013,0.0,0.38344,426000
0.364,0.017,0.0,0.38965,427000
0.37,0.018,0.0,0.39564,428000
0.371,0.012,0.0,0.39859,429000
0.388,0.025,0.0,0.41619,430000
0.383,0.02,0.0,0.41036,431000
0.371,0.017,0.0,0.39677,432000
0.399,0.015,0.0,0.42607,433000
0.396,0.02,0.0,0.42337,434000
0.363,0.02,0.0,0.38967,435000
0.391,0.021,0.0,0.41993,436000
0.375,0.028,0.0,0.40226,437000
0.376,0.018,0.0,0.40203,438000
0.392,0.019,0.0,0.42004,439000
0.412,0.023,0.0,0.44035,440000
0.391,0.018,0.0,0.41821,441000
0.395,0.02,0.0,0.42254,442000
0.396,0.017,0.0,0.42303,443000
0.399,0.017,0.0,0.42528,444000
0.398,0.016,0.0,0.42319,445000
0.398,0.02,0.0,0.42281,446000
0.393,0.023,0.0,0.41765,447000
0.398,0.021,0.0,0.4232,448000
0.407,0.02,0.0,0.43242,449000
0.409,0.021,0.0,0.43545,450000
0.394,0.019,0.0,0.41898,451000
0.382,0.016,0.0,0.40619,452000
0.38,0.018,0.0,0.40287,453000
0.399,0.016,0.0,0.42531,454000
0.388,0.021,0.0,0.41505,455000
0.403,0.025,0.0,0.42895,456000
0.413,0.02,0.0,0.43931,457000
0.425,0.022,0.0,0.4522,458000
0.444,0.022,0.0,0.47141,459000
0.433,0.019,0.0,0.46025,460000
0.435,0.022,0.0,0.46189,461000
0.417,0.016,0.0,0.44336,462000
0.428,0.013,0.0,0.45473,463000
0.429,0.021,0.0,0.45572,464000
0.433,0.014,0.0,0.45848,465000
0.434,0.014,0.0,0.46044,466000
0.418,0.021,0.0,0.44416,467000
0.435,0.019,0.0,0.46252,468000
0.426,0.019,0.0,0.4525,469000
0.416,0.013,0.0,0.44125,470000
0.447,0.018,0.0,0.472,471000
0.448,0.02,0.0,0.47429,472000
0.439,0.022,0.0,0.46447,473000
0.436,0.022,0.0,0.46349,474000
0.446,0.014,0.0,0.47284,475000
0.423,0.018,0.0,0.45,476000
0.431,0.021,0.0,0.45689,477000
0.437,0.016,0.0,0.46209,478000
0.431,0.019,0.0,0.45665,479000
0.435,0.017,0.0,0.46157,480000
0.448,0.018,0.0,0.47597,481000
0.438,0.014,0.0,0.46645,482000
0.441,0.015,0.0,0.46866,483000
0.457,0.021,0.0,0.48539,484000
0.444,0.013,0.0,0.46955,485000
0.433,0.02,0.0,0.45989,486000
0.438,0.015,0.0,0.46421,487000
0.45,0.015,0.0,0.47695,488000
0.433,0.015,0.0,0.46037,489000
0.449,0.023,0.0,0.47622,490000
0.465,0.016,0.0,0.49154,491000
0.45,0.015,0.0,0.47676,492000
0.448,0.019,0.0,0.47442,493000
0.442,0.013,0.0,0.4678,494000
0.442,0.018,0.0,0.46818,495000
0.455,0.018,0.0,0.48197,496000
0.439,0.016,0.0,0.46532,497000
0.445,0.022,0.0,0.4705,498000
0.449,0.014,0.0,0.47573,499000
