avg_score,loss_train,avg_diff,step_idx,avg_winning
0.37646,0.0,0.014,358000,0.355
0.37381,0.0,0.019,359000,0.353
0.36465,0.0,0.018,360000,0.344
0.36573,0.0,0.016,361000,0.346
0.37052,0.0,0.013,362000,0.349
0.36709,0.0,0.021,363000,0.346
0.37555,0.0,0.021,364000,0.353
0.3671,0.0,0.019,365000,0.344
0.37648,0.0,0.02,366000,0.354
0.36914,0.0,0.02,367000,0.347
0.37265,0.0,0.021,368000,0.353
0.3715,0.0,0.017,369000,0.351
0.36926,0.0,0.019,370000,0.348
0.37725,0.0,0.02,371000,0.356
0.38203,0.0,0.02,372000,0.36
0.3867,0.0,0.019,373000,0.365
0.38544,0.0,0.022,374000,0.365
0.38474,0.0,0.017,375000,0.363
0.38697,0.0,0.019,376000,0.365
0.38536,0.0,0.012,377000,0.363
0.38254,0.0,0.015,378000,0.36
0.37531,0.0,0.015,379000,0.352
0.37751,0.0,0.018,380000,0.353
0.36935,0.0,0.019,381000,0.347
0.36781,0.0,0.012,382000,0.345
0.39271,0.0,0.012,383000,0.37
0.37222,0.0,0.025,384000,0.35
0.37895,0.0,0.021,385000,0.356
0.38775,0.0,0.015,386000,0.364
0.39633,0.0,0.017,387000,0.372
0.38287,0.0,0.016,388000,0.36
0.37784,0.0,0.025,389000,0.356
0.38702,0.0,0.022,390000,0.365
0.38743,0.0,0.014,391000,0.364
0.39741,0.0,0.02,392000,0.373
0.39698,0.0,0.016,393000,0.373
0.38947,0.0,0.017,394000,0.365
0.38723,0.0,0.018,395000,0.362
0.39236,0.0,0.015,396000,0.368
0.3917,0.0,0.015,397000,0.368
0.38341,0.0,0.011,398000,0.359
0.39299,0.0,0.011,399000,0.367
0.37976,0.0,0.015,400000,0.354
0.36922,0.0,0.02,401000,0.346
0.38489,0.0,0.017,402000,0.362
0.37349,0.0,0.017,403000,0.351
0.37655,0.0,0.021,404000,0.354
0.38599,0.0,0.016,405000,0.364
0.38071,0.0,0.012,406000,0.359
0.37802,0.0,0.021,407000,0.357
0.382,0.0,0.017,408000,0.362
0.36983,0.0,0.02,409000,0.351
0.3825,0.0,0.018,410000,0.362
0.37894,0.0,0.019,411000,0.359
0.38889,0.0,0.016,412000,0.367
0.37493,0.0,0.022,413000,0.353
0.38273,0.0,0.014,414000,0.361
0.38132,0.0,0.014,415000,0.359
0.38522,0.0,0.016,416000,0.362
0.39777,0.0,0.019,417000,0.374
0.37924,0.0,0.017,418000,0.356
