avg_diff,avg_winning,loss_train,avg_score,step_idx
0.011,0.485,0.0,0.5282,361000
0.017,0.477,0.0,0.52185,362000
0.02,0.478,0.0,0.52315,363000
0.013,0.486,0.0,0.53077,364000
0.006,0.465,0.0,0.50897,365000
0.013,0.468,0.0,0.51283,366000
0.011,0.464,0.0,0.50808,367000
0.006,0.478,0.0,0.51368,368000
0.009,0.468,0.0,0.50921,369000
0.014,0.46,0.0,0.50417,370000
0.007,0.472,0.0,0.51625,371000
0.013,0.462,0.0,0.5021,372000
0.017,0.488,0.0,0.53337,373000
0.005,0.468,0.0,0.51352,374000
0.015,0.45,0.0,0.49529,375000
0.008,0.469,0.0,0.51412,376000
0.028,0.472,0.0,0.51742,377000
0.005,0.473,0.0,0.51795,378000
0.011,0.459,0.0,0.50324,379000
0.016,0.459,0.0,0.50261,380000
0.01,0.459,0.0,0.49817,381000
0.018,0.452,0.0,0.48581,382000
0.006,0.443,0.0,0.48541,383000
0.017,0.482,0.0,0.5256,384000
0.008,0.455,0.0,0.49818,385000
0.022,0.438,0.0,0.4816,386000
0.016,0.468,0.0,0.50356,387000
0.009,0.475,0.0,0.51889,388000
0.014,0.469,0.0,0.51334,389000
0.014,0.461,0.0,0.50529,390000
0.009,0.455,0.0,0.49973,391000
0.013,0.468,0.0,0.50752,392000
0.02,0.459,0.0,0.49905,393000
0.013,0.471,0.0,0.51398,394000
0.008,0.488,0.0,0.53075,395000
0.02,0.489,0.0,0.53055,396000
0.011,0.466,0.0,0.5062,397000
0.014,0.46,0.0,0.49711,398000
0.011,0.486,0.0,0.52581,399000
0.002,0.478,0.0,0.51776,400000
0.013,0.471,0.0,0.50895,401000
0.017,0.457,0.0,0.48042,402000
0.011,0.464,0.0,0.50142,403000
0.01,0.478,0.0,0.51634,404000
0.009,0.431,0.0,0.47122,405000
0.017,0.491,0.0,0.53044,406000
0.019,0.452,0.0,0.48857,407000
0.012,0.446,0.0,0.4877,408000
0.014,0.473,0.0,0.51319,409000
0.024,0.446,0.0,0.48728,410000
0.013,0.449,0.0,0.49054,411000
0.026,0.456,0.0,0.49734,412000
0.016,0.458,0.0,0.49907,413000
0.013,0.467,0.0,0.50495,414000
