step_idx,avg_winning,avg_diff,avg_score,loss_train
375000,0.418,0.025,0.46541,0.026
376000,0.482,0.014,0.52595,0.019
377000,0.475,0.007,0.51807,0.019
378000,0.424,0.025,0.47017,0.018
379000,0.442,0.02,0.48793,0.026
380000,0.441,0.028,0.48586,0.012
381000,0.436,0.017,0.48175,0.016
382000,0.436,0.027,0.48095,0.022
383000,0.439,0.021,0.48458,0.019
384000,0.448,0.014,0.49286,0.019
385000,0.429,0.027,0.47473,0.031
386000,0.43,0.022,0.47644,0.018
387000,0.46,0.015,0.4993,0.017
388000,0.447,0.012,0.49276,0.019
389000,0.461,0.025,0.50738,0.017
390000,0.453,0.023,0.49829,0.015
391000,0.468,0.017,0.51451,0.026
392000,0.452,0.024,0.49784,0.01
393000,0.47,0.019,0.51389,0.008
394000,0.447,0.011,0.494,0.01
395000,0.455,0.021,0.502,0.019
396000,0.413,0.014,0.4595,0.018
397000,0.429,0.016,0.47592,0.009
398000,0.484,0.021,0.53061,0.013
399000,0.512,0.021,0.5498,0.013
400000,0.461,0.016,0.50751,0.023
401000,0.446,0.015,0.49381,0.018
402000,0.454,0.018,0.50231,0.026
403000,0.446,0.022,0.49259,0.014
404000,0.434,0.021,0.4815,0.017
405000,0.431,0.025,0.4777,0.025
406000,0.445,0.025,0.49126,0.015
407000,0.461,0.023,0.50765,-0.003
408000,0.458,0.029,0.50358,0.011
409000,0.433,0.018,0.48051,0.016
410000,0.463,0.016,0.51086,0.02
411000,0.461,0.015,0.50819,0.022
412000,0.451,0.021,0.49759,0.017
413000,0.459,0.021,0.50658,0.016
414000,0.441,0.014,0.48892,0.022
415000,0.456,0.027,0.50358,0.002
416000,0.479,0.013,0.52621,0.005
417000,0.448,0.014,0.49557,0.036
418000,0.46,0.019,0.50792,0.013
419000,0.435,0.024,0.48183,0.028
420000,0.459,0.018,0.50573,0.022
421000,0.487,0.02,0.52348,0.021
422000,0.449,0.019,0.49531,0.045
423000,0.452,0.029,0.49853,0.013
424000,0.431,0.023,0.477,0.021
425000,0.437,0.019,0.48268,0.011
426000,0.427,0.029,0.47316,0.018
427000,0.439,0.027,0.48379,0.016
428000,0.448,0.025,0.49409,0.034
429000,0.459,0.023,0.50388,0.024
430000,0.449,0.025,0.49485,0.028
431000,0.443,0.02,0.48878,0.007
432000,0.449,0.025,0.49382,0.019
433000,0.43,0.025,0.4759,0.005
434000,0.438,0.027,0.48394,0.007
435000,0.445,0.025,0.49111,0.001
436000,0.453,0.024,0.50002,0.016
437000,0.441,0.02,0.48728,0.014
438000,0.454,0.012,0.50109,0.007
439000,0.487,0.022,0.5311,0.002
440000,0.497,0.011,0.54009,0.007
441000,0.499,0.018,0.54048,0.016
442000,0.471,0.017,0.5175,0.016
443000,0.438,0.02,0.48439,0.027
444000,0.478,0.019,0.52275,0.003
445000,0.484,0.015,0.52933,0.004
446000,0.425,0.024,0.47073,0.02
447000,0.427,0.024,0.47208,0.021
448000,0.446,0.026,0.49095,0.004
449000,0.465,0.02,0.5108,0.007
450000,0.447,0.022,0.49314,0.007
451000,0.447,0.029,0.49405,0.001
452000,0.484,0.015,0.52222,0.022
453000,0.454,0.024,0.50036,0.026
454000,0.465,0.019,0.51125,0.01
455000,0.476,0.018,0.52261,-0.013
456000,0.471,0.024,0.51775,0.028
457000,0.472,0.02,0.51897,0.016
458000,0.471,0.019,0.51795,0.023
459000,0.455,0.023,0.50229,-0.0
460000,0.431,0.017,0.47668,0.021
461000,0.465,0.017,0.51208,0.009
462000,0.435,0.026,0.47904,0.021
463000,0.451,0.026,0.49608,0.02
464000,0.442,0.026,0.4866,0.018
465000,0.477,0.014,0.52032,0.017
466000,0.445,0.011,0.48821,0.015
467000,0.467,0.027,0.51166,0.019
468000,0.434,0.01,0.47721,0.02
469000,0.438,0.005,0.48357,0.011
470000,0.405,0.015,0.4491,0.022
471000,0.427,0.02,0.47068,0.01
472000,0.426,0.006,0.47036,0.025
473000,0.421,0.021,0.46389,0.009
474000,0.471,0.009,0.51431,0.012
475000,0.447,0.007,0.4914,0.0
476000,0.446,0.013,0.49092,0.011
477000,0.461,0.015,0.5069,0.007
478000,0.468,0.012,0.51354,0.017
479000,0.453,0.016,0.49808,0.015
480000,0.462,0.021,0.50775,0.015
481000,0.45,0.016,0.49626,0.02
482000,0.435,0.022,0.48046,0.016
483000,0.48,0.024,0.52593,0.011
484000,0.47,0.021,0.51725,0.01
485000,0.452,0.019,0.5,0.009
486000,0.443,0.017,0.48975,0.021
487000,0.446,0.012,0.49222,0.01
488000,0.419,0.036,0.46413,-0.003
489000,0.474,0.018,0.52114,0.002
490000,0.444,0.012,0.49087,0.009
491000,0.462,0.011,0.50934,0.01
492000,0.459,0.012,0.50607,0.017
493000,0.478,0.009,0.5232,0.009
494000,0.441,0.014,0.48648,0.007
495000,0.45,0.017,0.49669,-0.003
496000,0.473,0.006,0.51919,0.005
497000,0.468,0.009,0.5144,0.006
498000,0.443,0.028,0.48938,0.025
499000,0.454,0.014,0.5007,0.007
