avg_score,avg_score_no,avg_diff,step_idx,avg_winning,loss_train
0.467,0.042,0.03,72300,0.425,0.016
0.45243,0.04243,0.025,72600,0.41,0.035
0.47828,0.04328,0.015,72900,0.435,0.02
0.4415,0.0415,0.02,73200,0.4,-0.039
0.483,0.043,0.02,73500,0.44,0.006
0.50996,0.04496,0.03,73800,0.465,0.016
0.48801,0.04301,0.03,74100,0.445,0.01
0.4661,0.0411,0.035,74400,0.425,0.009
0.46605,0.04105,0.02,74700,0.425,-0.015
0.47926,0.03926,0.01,75000,0.44,-0.007
0.49245,0.04245,0.015,75300,0.45,0.008
0.48616,0.04116,0.02,75600,0.445,-0.003
0.48146,0.04146,0.025,75900,0.44,-0.02
0.48183,0.04183,0.015,76200,0.44,0.049
0.48079,0.04079,0.02,76500,0.44,0.02
0.47761,0.04261,0.015,76800,0.435,-0.06
0.46559,0.04059,0.02,77100,0.425,-0.018
0.46689,0.04189,0.01,77400,0.425,-0.012
0.46942,0.03942,0.015,77700,0.43,0.003
0.47589,0.04089,0.005,78000,0.435,-0.017
0.48942,0.03942,0.015,78300,0.45,-0.032
0.49558,0.04058,0.02,78600,0.455,0.007
0.48813,0.03813,0.01,78900,0.45,-0.026
0.47504,0.04004,0.01,79200,0.435,-0.03
0.47485,0.03985,0.02,79500,0.435,-0.017
0.46894,0.03894,0.02,79800,0.43,-0.038
0.46304,0.03804,0.025,80100,0.425,-0.007
0.46445,0.03945,0.025,80400,0.425,-0.012
0.49017,0.04017,0.025,80700,0.45,-0.03
0.49928,0.03928,0.035,81000,0.46,0.014
0.48735,0.03735,0.02,81300,0.45,-0.057
0.53202,0.03702,0.01,81600,0.495,0.002
0.48244,0.03744,0.015,81900,0.445,0.02
0.4821,0.0371,0.015,82200,0.445,-0.044
0.49943,0.03943,0.025,82500,0.46,-0.032
0.4841,0.0391,0.025,82800,0.445,-0.029
0.51113,0.04113,0.025,83100,0.47,0.036
0.46575,0.04075,0.035,83400,0.425,-0.042
0.45559,0.04059,0.025,83700,0.415,-0.036
0.49117,0.04117,0.045,84000,0.45,-0.016
0.47701,0.04201,0.02,84300,0.435,-0.009
0.48723,0.04223,0.025,84600,0.445,0.012
0.51179,0.04179,0.025,84900,0.47,0.036
0.50294,0.04294,0.035,85200,0.46,-0.019
0.46537,0.04037,0.015,85500,0.425,-0.012
0.45563,0.04063,0.03,85800,0.415,0.018
0.48629,0.04129,0.035,86100,0.445,-0.003
0.48662,0.04162,0.02,86400,0.445,-0.016
0.49747,0.04247,0.03,86700,0.455,0.037
0.48526,0.04026,0.03,87000,0.445,-0.041
0.42377,0.03877,0.025,87300,0.385,-0.06
0.42685,0.03685,0.03,87600,0.39,-0.02
0.45178,0.03678,0.025,87900,0.415,0.003
0.45787,0.03787,0.005,88200,0.42,0.017
0.4575,0.0375,0.01,88500,0.42,-0.014
0.44438,0.03938,0.005,88800,0.405,-0.015
0.47063,0.04063,0.02,89100,0.43,-0.032
0.4702,0.0402,0.02,89400,0.43,-0.02
0.44922,0.03922,0.02,89700,0.41,-0.025
0.4738,0.0388,0.015,90000,0.435,-0.071
0.47334,0.03834,0.015,90300,0.435,-0.031
0.48472,0.03972,0.02,90600,0.445,-0.004
0.46254,0.03754,0.025,90900,0.425,-0.012
0.44347,0.03847,0.03,91200,0.405,0.016
0.43305,0.03805,0.03,91500,0.395,-0.004
0.47017,0.04017,0.015,91800,0.43,0.012
0.46485,0.03985,0.025,92100,0.425,0.015
0.44899,0.03899,0.025,92400,0.41,-0.027
