avg_score,loss_train,step_idx,avg_diff,avg_winning
0.57514,-0.01,335000,0.024,0.545
0.62884,-0.007,336000,0.009,0.596
0.63655,-0.012,337000,0.0,0.604
0.63269,-0.014,338000,0.013,0.601
0.61251,0.002,339000,0.009,0.581
0.64551,-0.008,340000,0.004,0.611
0.61363,-0.013,341000,0.022,0.581
0.62293,-0.01,342000,0.02,0.59
0.61213,-0.007,343000,0.018,0.578
0.6313,-0.014,344000,0.01,0.597
0.61,-0.018,345000,0.024,0.578
0.63309,-0.007,346000,0.019,0.599
0.59573,-0.012,347000,0.019,0.564
0.61856,-0.005,348000,0.022,0.586
0.60114,-0.018,349000,0.019,0.57
0.59137,-0.01,350000,0.016,0.56
0.60688,-0.007,351000,0.014,0.576
0.59113,-0.016,352000,0.024,0.56
0.62057,-0.003,353000,0.011,0.588
0.60257,-0.016,354000,0.013,0.571
0.55008,-0.018,355000,0.017,0.522
0.52927,-0.003,356000,0.014,0.502
0.56152,-0.003,357000,0.02,0.532
0.60635,-0.001,358000,0.015,0.574
0.57003,-0.008,359000,0.013,0.54
0.58626,-0.013,360000,0.008,0.555
0.58091,-0.007,361000,0.016,0.551
0.59653,-0.01,362000,0.018,0.566
0.58803,-0.001,363000,-0.004,0.558
0.61531,-0.017,364000,0.006,0.583
0.58038,-0.014,365000,0.011,0.551
0.58474,-0.016,366000,0.02,0.555
0.58906,-0.012,367000,0.013,0.559
0.58406,-0.008,368000,0.01,0.554
0.5902,-0.017,369000,0.018,0.559
0.5882,-0.013,370000,0.017,0.556
0.59255,-0.016,371000,0.011,0.562
0.61154,-0.019,372000,0.017,0.58
0.57983,-0.016,373000,0.01,0.55
0.59332,-0.01,374000,0.005,0.563
0.59623,-0.017,375000,0.011,0.567
0.57727,-0.02,376000,0.003,0.549
0.59361,-0.009,377000,0.011,0.563
0.60205,-0.007,378000,0.008,0.571
0.61192,-0.014,379000,0.009,0.58
0.6137,-0.019,380000,0.007,0.582
0.60653,-0.016,381000,0.005,0.574
0.64594,-0.013,382000,0.017,0.613
0.60818,-0.017,383000,0.012,0.578
0.62876,-0.008,384000,0.012,0.596
0.55994,-0.016,385000,0.017,0.532
0.60421,-0.004,386000,0.019,0.573
0.58669,-0.011,387000,0.011,0.556
0.58656,-0.009,388000,0.009,0.557
0.60559,-0.013,389000,0.01,0.574
0.5942,-0.008,390000,0.013,0.563
0.59279,-0.014,391000,0.017,0.563
0.61681,-0.012,392000,0.011,0.584
0.60735,-0.007,393000,0.013,0.574
0.58645,-0.025,394000,0.01,0.558
0.59028,-0.005,395000,0.017,0.562
0.59145,-0.003,396000,0.014,0.56
0.59356,-0.022,397000,0.016,0.564
0.61034,-0.004,398000,0.017,0.579
0.5828,-0.014,399000,0.012,0.553
0.58167,-0.006,400000,0.017,0.552
0.58791,-0.012,401000,0.012,0.556
0.58219,-0.006,402000,0.018,0.551
0.59571,-0.007,403000,0.015,0.564
0.57817,-0.016,404000,0.013,0.549
0.59336,-0.002,405000,0.014,0.563
0.59781,-0.01,406000,0.009,0.569
0.616,0.001,407000,0.01,0.586
0.57855,-0.012,408000,0.011,0.549
0.61352,-0.012,409000,0.005,0.583
0.5969,-0.013,410000,0.014,0.568
0.59201,-0.006,411000,0.009,0.563
0.61156,-0.007,412000,0.01,0.582
0.57989,-0.024,413000,0.011,0.55
0.58326,-0.002,414000,0.019,0.552
0.57962,-0.013,415000,0.026,0.552
0.57848,-0.01,416000,0.025,0.55
