avg_diff,avg_score,avg_winning,loss_train,step_idx,avg_score_no
0.025,0.53832,0.495,-0.029,85200,0.04332
0.0,0.49345,0.455,-0.02,85500,0.03845
0.02,0.54771,0.505,-0.028,85800,0.04271
0.02,0.51102,0.47,-0.013,86100,0.04102
0.03,0.52055,0.48,-0.023,86400,0.04055
0.02,0.5019,0.46,0.011,86700,0.0419
0.01,0.53101,0.49,-0.001,87000,0.04101
0.03,0.4873,0.45,-0.038,87300,0.0373
0.015,0.52902,0.49,0.023,87600,0.03902
0.015,0.50586,0.465,0.004,87900,0.04086
0.01,0.48204,0.44,0.04,88200,0.04204
0.01,0.53707,0.495,0.018,88500,0.04207
0.02,0.51669,0.475,0.004,88800,0.04169
0.0,0.53251,0.49,-0.005,89100,0.04251
0.0,0.52251,0.48,-0.035,89400,0.04251
0.015,0.52241,0.48,-0.012,89700,0.04241
0.01,0.50861,0.465,-0.016,90000,0.04361
0.02,0.4746,0.435,-0.034,90300,0.0396
0.01,0.51144,0.47,0.02,90600,0.04144
0.015,0.51685,0.475,-0.048,90900,0.04185
0.01,0.50973,0.47,-0.008,91200,0.03973
0.025,0.4625,0.425,0.018,91500,0.0375
0.015,0.47888,0.44,-0.016,91800,0.03888
0.02,0.51649,0.475,0.044,92100,0.04149
0.015,0.51231,0.47,-0.038,92400,0.04231
0.025,0.50029,0.46,-0.017,92700,0.04029
0.01,0.46734,0.425,-0.033,93000,0.04234
0.045,0.47774,0.435,0.005,93300,0.04274
0.01,0.49867,0.455,-0.045,93600,0.04367
0.01,0.46768,0.425,-0.034,93900,0.04268
0.01,0.48283,0.44,0.018,94200,0.04283
0.015,0.48251,0.44,-0.0,94500,0.04251
0.015,0.47623,0.435,-0.016,94800,0.04123
-0.005,0.48159,0.44,0.01,95100,0.04159
0.01,0.48229,0.44,-0.006,95400,0.04229
0.005,0.48727,0.445,-0.005,95700,0.04227
0.015,0.49718,0.455,0.001,96000,0.04218
0.03,0.47587,0.435,-0.014,96300,0.04087
0.02,0.50371,0.465,-0.0,96600,0.03871
0.015,0.51963,0.48,-0.019,96900,0.03963
0.02,0.48611,0.445,-0.018,97200,0.04111
0.015,0.5209,0.48,-0.044,97500,0.0409
0.02,0.51176,0.47,-0.031,97800,0.04176
0.015,0.49703,0.455,0.002,98100,0.04203
0.02,0.49048,0.45,-0.084,98400,0.04048
0.015,0.49636,0.455,0.006,98700,0.04136
0.02,0.47046,0.43,-0.016,99000,0.04046
0.015,0.48656,0.445,0.012,99300,0.04156
0.015,0.43639,0.395,-0.007,99600,0.04139
0.01,0.47158,0.43,-0.006,99900,0.04158
0.03,0.44497,0.405,0.0,100200,0.03997
0.02,0.43527,0.395,0.011,100500,0.04027
0.01,0.44631,0.405,-0.007,100800,0.04131
0.015,0.48874,0.45,-0.003,101100,0.03874
0.045,0.45956,0.42,-0.043,101400,0.03956
0.055,0.45531,0.415,-0.017,101700,0.04031
0.045,0.45052,0.41,0.029,102000,0.04052
0.04,0.48694,0.445,-0.013,102300,0.04194
0.045,0.48364,0.44,-0.031,102600,0.04364
0.03,0.5068,0.465,-0.042,102900,0.0418
0.02,0.4674,0.425,-0.005,103200,0.0424
0.03,0.50683,0.465,-0.038,103500,0.04183
0.02,0.55242,0.51,-0.009,103800,0.04242
0.01,0.5052,0.465,-0.029,104100,0.0402
0.01,0.47682,0.435,0.01,104400,0.04182
0.02,0.49702,0.455,0.013,104700,0.04202
0.01,0.45162,0.41,-0.006,105000,0.04162
0.01,0.49507,0.455,-0.019,105300,0.04007
0.025,0.51083,0.47,-0.013,105600,0.04083
