avg_diff,avg_winning,loss_train,step_idx,avg_score
0.007,0.518,-0.007,351000,0.55034
0.009,0.545,-0.01,352000,0.57797
0.007,0.528,-0.01,353000,0.56012
0.01,0.548,-0.012,354000,0.58014
0.018,0.52,-0.009,355000,0.55081
0.011,0.554,-0.003,356000,0.5868
0.017,0.553,-0.013,357000,0.58541
0.004,0.541,-0.007,358000,0.57325
0.013,0.544,-0.014,359000,0.57647
0.003,0.53,-0.017,360000,0.55996
0.013,0.521,-0.012,361000,0.54798
0.009,0.513,0.001,362000,0.53927
0.004,0.543,-0.014,363000,0.56902
0.011,0.537,-0.01,364000,0.56206
0.009,0.539,0.004,365000,0.56783
0.001,0.549,-0.016,366000,0.57775
0.003,0.546,-0.005,367000,0.57497
-0.003,0.552,-0.007,368000,0.58321
-0.002,0.568,-0.017,369000,0.59798
0.008,0.551,-0.015,370000,0.58093
0.017,0.555,-0.015,371000,0.58358
0.005,0.571,-0.006,372000,0.60149
0.022,0.52,-0.003,373000,0.54703
0.003,0.539,-0.003,374000,0.56751
-0.007,0.591,0.004,375000,0.62444
0.002,0.571,-0.011,376000,0.60289
0.003,0.574,-0.011,377000,0.60585
-0.003,0.55,-0.015,378000,0.58102
-0.007,0.574,-0.007,379000,0.60686
0.001,0.557,-0.006,380000,0.58836
0.012,0.542,-0.009,381000,0.57017
0.016,0.55,-0.006,382000,0.57903
0.011,0.551,-0.0,383000,0.58195
0.0,0.527,-0.007,384000,0.55691
0.016,0.538,-0.004,385000,0.56656
0.02,0.523,-0.0,386000,0.55063
0.018,0.533,-0.005,387000,0.56278
0.017,0.532,-0.007,388000,0.5606
0.013,0.54,-0.003,389000,0.57109
0.021,0.523,-0.008,390000,0.55347
0.017,0.561,-0.014,391000,0.59317
0.005,0.56,-0.008,392000,0.59283
0.005,0.54,-0.016,393000,0.57202
0.02,0.54,-0.014,394000,0.57128
0.024,0.54,-0.003,395000,0.57085
0.013,0.55,-0.005,396000,0.582
0.023,0.53,-0.01,397000,0.55799
0.018,0.524,0.001,398000,0.54941
0.018,0.526,-0.008,399000,0.55353
0.014,0.531,-0.001,400000,0.56034
0.022,0.538,-0.008,401000,0.56104
0.014,0.539,0.006,402000,0.56808
0.017,0.533,-0.007,403000,0.56345
0.015,0.557,-0.007,404000,0.58833
-0.001,0.557,-0.002,405000,0.58782
