avg_winning,step_idx,avg_diff,avg_score,loss_train
0.51,290000,0.037,0.53805,0.002
0.516,291000,0.034,0.54251,-0.002
0.513,292000,0.025,0.5458,0.002
0.516,293000,0.036,0.5461,-0.012
0.495,294000,0.036,0.52483,-0.01
0.526,295000,0.017,0.55919,-0.005
0.513,296000,0.017,0.54423,-0.009
0.518,297000,0.019,0.54947,-0.015
0.51,298000,0.03,0.54179,-0.002
0.522,299000,0.017,0.55292,-0.001
0.503,300000,0.028,0.53208,-0.015
0.517,301000,0.024,0.54659,-0.005
0.504,302000,0.022,0.53712,-0.005
0.518,303000,0.035,0.55039,0.01
0.508,304000,0.031,0.5403,-0.007
0.551,305000,0.022,0.58592,-0.003
0.539,306000,0.028,0.57221,-0.008
0.518,307000,0.029,0.54784,-0.005
0.534,308000,0.033,0.564,-0.001
0.526,309000,0.024,0.55708,0.004
0.526,310000,0.03,0.55857,-0.013
0.54,311000,0.04,0.5733,0.004
0.52,312000,0.036,0.54274,-0.009
0.529,313000,0.034,0.5603,-0.001
0.543,314000,0.033,0.57613,0.008
0.539,315000,0.026,0.57087,-0.009
0.559,316000,0.031,0.59263,-0.014
0.524,317000,0.032,0.55504,-0.007
0.532,318000,0.029,0.56271,0.006
0.527,319000,0.035,0.55256,-0.01
0.521,320000,0.031,0.54778,-0.007
0.523,321000,0.028,0.55317,0.001
0.542,322000,0.028,0.57323,-0.0
0.526,323000,0.027,0.54971,-0.007
0.52,324000,0.038,0.54586,-0.0
0.528,325000,0.025,0.55366,0.0
0.53,326000,0.026,0.55641,-0.001
0.528,327000,0.019,0.55485,-0.013
0.536,328000,0.021,0.56888,-0.007
0.524,329000,0.019,0.55695,-0.0
0.529,330000,0.038,0.55635,-0.019
0.525,331000,0.038,0.55188,0.014
0.522,332000,0.03,0.54976,-0.01
0.524,333000,0.033,0.55254,-0.008
0.552,334000,0.026,0.5856,0.006
0.525,335000,0.031,0.55145,-0.012
0.548,336000,0.028,0.57752,-0.005
0.544,337000,0.026,0.57437,-0.003
0.567,338000,0.018,0.60042,0.002
0.566,339000,0.019,0.60043,-0.006
0.553,340000,0.022,0.58633,-0.006
0.55,341000,0.028,0.5856,0.006
0.52,342000,0.026,0.5547,-0.001
0.519,343000,0.041,0.55233,-0.003
0.539,344000,0.036,0.57199,0.006
0.522,345000,0.038,0.54686,-0.003
0.529,346000,0.037,0.56163,0.004
0.533,347000,0.043,0.56554,-0.002
0.527,348000,0.034,0.56029,-0.0
0.541,349000,0.026,0.57449,-0.005
0.54,350000,0.024,0.57271,0.002
0.545,351000,0.024,0.57855,0.009
0.527,352000,0.044,0.55042,-0.016
0.542,353000,0.043,0.57295,0.0
