loss_train,avg_diff,step_idx,avg_score,avg_winning
0.029,0.033,432000,0.45733,0.414
0.018,0.025,433000,0.48796,0.446
0.015,0.025,434000,0.46434,0.422
0.007,0.024,435000,0.51452,0.479
0.025,0.019,436000,0.48742,0.451
0.017,0.026,437000,0.48171,0.437
0.014,0.028,438000,0.47303,0.431
0.012,0.027,439000,0.47898,0.438
-0.008,0.025,440000,0.47694,0.434
0.005,0.02,441000,0.50645,0.47
0.005,0.021,442000,0.49866,0.464
0.009,0.021,443000,0.49208,0.456
0.029,0.021,444000,0.5028,0.461
-0.004,0.022,445000,0.46674,0.425
0.01,0.024,446000,0.46561,0.427
0.01,0.029,447000,0.49383,0.454
0.016,0.018,448000,0.5026,0.461
-0.009,0.024,449000,0.48618,0.443
0.008,0.023,450000,0.48656,0.45
0.016,0.026,451000,0.48631,0.444
0.006,0.027,452000,0.48329,0.444
0.027,0.024,453000,0.4832,0.439
0.015,0.022,454000,0.49374,0.449
0.008,0.016,455000,0.46025,0.418
0.013,0.018,456000,0.47222,0.428
0.003,0.016,457000,0.48588,0.441
0.017,0.026,458000,0.47931,0.435
0.01,0.029,459000,0.46681,0.424
0.018,0.017,460000,0.489,0.446
0.019,0.024,461000,0.47422,0.433
0.023,0.021,462000,0.46248,0.42
0.021,0.013,463000,0.45819,0.417
0.012,0.02,464000,0.47402,0.433
0.037,0.03,465000,0.4572,0.415
0.006,0.025,466000,0.45926,0.42
0.016,0.028,467000,0.46809,0.43
0.003,0.024,468000,0.46471,0.422
0.019,0.013,469000,0.48853,0.444
0.019,0.017,470000,0.47419,0.431
0.026,0.018,471000,0.46804,0.424
0.006,0.01,472000,0.47444,0.431
-0.012,0.018,473000,0.48611,0.445
0.021,0.018,474000,0.4796,0.437
0.016,0.02,475000,0.44659,0.404
0.005,0.023,476000,0.47702,0.437
0.015,0.02,477000,0.45866,0.417
0.015,0.016,478000,0.4988,0.458
0.008,0.016,479000,0.48493,0.442
0.018,0.026,480000,0.45865,0.415
0.011,0.018,481000,0.48531,0.442
0.019,0.021,482000,0.47629,0.433
0.007,0.026,483000,0.48774,0.45
0.017,0.022,484000,0.45794,0.42
0.022,0.021,485000,0.48356,0.441
0.014,0.027,486000,0.44587,0.407
0.018,0.024,487000,0.44737,0.408
0.013,0.021,488000,0.44181,0.402
0.018,0.015,489000,0.4705,0.429
0.013,0.023,490000,0.46073,0.418
0.008,0.021,491000,0.47062,0.428
0.011,0.022,492000,0.47669,0.435
0.006,0.025,493000,0.46809,0.435
0.022,0.02,494000,0.47563,0.438
0.018,0.026,495000,0.48802,0.446
0.032,0.015,496000,0.47897,0.439
0.018,0.022,497000,0.48457,0.45
0.019,0.016,498000,0.48534,0.448
0.016,0.019,499000,0.44838,0.408
