avg_score,step_idx,avg_winning,loss_train,avg_diff
0.49353,368000,0.452,0.02,0.032
0.4872,369000,0.444,0.005,0.028
0.45969,370000,0.418,0.019,0.022
0.45214,371000,0.41,0.013,0.025
0.47389,372000,0.431,0.011,0.025
0.4785,373000,0.435,0.01,0.024
0.49908,374000,0.458,0.023,0.016
0.47531,375000,0.431,0.015,0.022
0.48088,376000,0.437,0.019,0.024
0.49272,377000,0.448,0.014,0.027
0.50277,378000,0.46,0.016,0.024
0.50504,379000,0.46,0.014,0.025
0.47933,380000,0.435,0.026,0.019
0.49824,381000,0.455,0.017,0.022
0.48452,382000,0.44,0.006,0.019
0.479,383000,0.436,0.019,0.02
0.48757,384000,0.444,0.011,0.025
0.45579,385000,0.412,0.002,0.034
0.48719,386000,0.442,0.004,0.024
0.46255,387000,0.419,0.027,0.019
0.49864,388000,0.455,0.014,0.028
0.49056,389000,0.446,0.023,0.029
0.5071,390000,0.463,0.017,0.027
0.47729,391000,0.436,0.003,0.022
